,City,Latitude,Temperature,Humidity,Cloudiness,Wind_Speed
54,Katsuura,33.93,43.61,65,75,11.41
55,Barrow,-38.31,71.04,62,68,13.78
56,Luderitz,-26.65,63.98,96,0,3.71
57,Vuktyl,63.86,-6.05,70,68,2.82
58,Cape Town,-33.93,70.41,81,0,15.57
59,Bluff,-23.58,89.58,36,44,14.0
60,Leningradskiy,69.38,-10.19,89,8,15.46
61,Tiksi,71.64,-29.27,47,24,3.38
62,Daan,17.0,80.94,47,0,4.38
63,Albany,42.65,33.73,78,90,3.49
64,Tuktoyaktuk,69.44,2.24,98,48,4.94
65,Avarua,-21.21,78.8,74,90,6.93
66,Hilo,19.71,66.02,87,20,4.7
67,Cidreira,-30.17,71.94,84,88,12.66
68,Howard Springs,-12.5,86.0,58,75,8.05
69,Ambilobe,-13.19,82.61,94,48,4.5
70,Jiayuguan,39.77,14.12,88,76,3.04
71,Victoria,5.28,90.5,62,75,9.17
72,Souillac,45.6,38.19,69,90,9.17
73,Sitka,37.17,35.94,76,48,7.74
74,Bethel,60.79,2.46,82,75,9.17
75,Ponta Delgada,37.73,62.6,93,75,25.28
76,Vaini,15.34,83.28,26,0,6.93
77,Vila Franca do Campo,37.72,62.6,93,75,25.28
78,Kaitangata,-46.28,57.14,87,68,9.19
79,Balkanabat,39.51,49.89,65,0,3.6
80,Thompson,55.74,-20.21,75,5,2.71
81,Haines Junction,60.75,-27.24,37,12,1.92
82,East London,-33.02,77.0,50,20,12.75
83,San Nicolas,14.94,65.64,98,80,2.37
84,Honningsvag,70.98,40.67,98,92,23.96
85,Salinas,36.67,46.31,82,40,3.36
86,Praxedis Guerrero,31.37,42.71,65,90,2.48
87,Port-Gentil,-0.72,82.4,83,40,6.93
88,Tromso,69.65,41.94,86,90,19.46
89,Constitucion,23.99,41.66,73,8,3.94
90,Chokurdakh,70.62,-37.59,76,8,3.04
91,Grand Gaube,-20.01,86.0,70,40,16.11
92,Roald,62.58,42.98,81,75,11.41
93,Kirakira,-10.46,82.11,100,68,12.33
94,North Bend,43.41,48.92,77,75,9.17
95,Castro,-42.48,53.6,81,75,5.82
96,Mansa,23.43,80.6,13,0,11.41
97,Wahiawa,21.5,71.35,73,75,3.36
98,Murdochville,48.96,23.34,85,92,3.38
99,Picayune,30.53,45.32,88,75,2.15
100,Bambanglipuro,-7.95,76.71,100,80,4.16
101,Tenkodogo,11.78,72.39,26,56,13.56
102,Butaritari,3.07,83.55,100,92,15.01
103,Sao Borja,-28.66,75.14,88,56,2.93
104,Narsaq,60.91,12.09,81,80,3.04
105,San Patricio,-26.98,76.13,91,92,4.61
106,Bowen,-20.01,80.6,69,8,17.22
107,Dondo,-19.62,82.4,83,75,4.94
108,Rzeszow,50.04,21.2,85,75,11.41
109,Inhambane,-23.87,80.6,74,40,11.21
110,Viedma,-40.81,69.83,79,0,11.77
111,Touros,-5.2,75.2,94,40,3.36
112,Rawlins,41.79,33.66,87,1,9.17
113,Mayya,61.74,-29.21,73,56,4.47
114,Kingaroy,-26.54,82.4,45,40,13.87
115,Pevek,69.7,-17.3,100,64,4.72
116,Aklavik,68.22,-2.21,77,90,2.24
117,Pangnirtung,66.15,-3.35,98,76,6.96
118,Termez,37.23,47.55,66,0,4.7
119,Yakeshi,49.28,-12.8,56,0,4.72
120,Mut,36.64,36.48,96,80,2.93
121,Meadow Lake,54.13,17.58,82,76,9.42
122,Westport,53.8,46.4,100,75,8.05
123,Shelburne,44.08,37.11,91,90,12.75
124,Guerrero Negro,27.97,51.15,100,92,2.71
125,Hay River,60.82,6.8,84,90,12.75
126,Yellowknife,62.45,5.0,84,90,6.93
127,Bayangol,48.91,-6.23,66,32,2.93
128,Teya,21.05,66.2,88,5,3.15
129,Atar,20.52,57.77,30,0,11.88
130,Itaguai,-22.85,75.63,83,0,5.82
131,Khatanga,71.98,-35.03,65,12,2.93
132,Zabid,14.2,71.09,13,0,3.27
133,Abha,18.22,67.15,42,0,16.11
134,Praia,-20.25,67.03,88,0,3.36
135,Taltal,-25.41,54.53,96,32,1.59
136,Penzance,50.12,45.66,87,90,5.82
137,Lasa,34.92,56.05,67,75,28.86
138,The Valley,18.22,77.0,78,75,11.41
139,Ngunguru,-35.62,71.31,83,0,8.86
140,Tomatlan,19.93,60.15,85,0,2.04
141,Ilulissat,69.22,8.6,46,0,17.22
142,Lagoa,37.14,41.0,80,0,9.17
143,Flinders,-34.58,66.54,79,80,4.38
144,Upernavik,72.79,6.11,100,8,12.21
145,Muros,42.77,32.16,86,0,1.12
146,Havre-Saint-Pierre,50.23,24.8,92,90,10.29
147,Paddhari,22.44,81.39,25,0,12.88
148,Saint-Philippe,45.36,32.9,86,90,5.82
149,Carnarvon,-30.97,80.36,14,0,10.54
150,Tazovskiy,67.47,-0.87,79,32,22.5
151,Vanimo,-2.67,80.85,100,48,15.12
152,Ilhabela,-23.78,78.92,100,68,2.93
153,Avera,33.19,41.05,63,1,10.29
154,Tucumcari,35.17,46.94,38,1,17.22
155,Waipawa,-39.94,69.74,50,0,17.47
156,Geraldton,49.72,8.6,71,75,9.17
157,Mar del Plata,-46.43,56.01,54,0,25.08
158,Rio Gallegos,-51.62,46.4,97,40,21.92
159,Ostrovnoy,68.05,19.43,92,88,16.35
160,Luangwa,-15.62,71.72,100,92,4.5
161,Provideniya,64.42,5.88,100,44,30.11
162,High Level,58.52,12.32,81,92,2.71
163,San Cristobal,-0.39,53.6,93,75,6.93
164,Auki,12.18,71.27,27,0,16.24
165,Lianzhou,24.79,52.28,88,88,2.37
166,Kruisfontein,-34.0,69.78,77,0,5.28
167,Kununurra,-15.77,95.0,50,0,5.82
168,Plavsk,53.71,16.01,93,56,4.72
169,Bandipur,11.67,82.16,33,8,1.7
170,Comodoro Rivadavia,-45.87,60.8,41,0,17.22
171,Luang Prabang,19.89,86.0,58,40,2.24
172,Sainte-Martine,45.25,32.92,86,90,5.82
173,New Norfolk,-42.78,66.2,55,40,11.41
174,Te Anau,-45.41,50.34,82,20,4.61
175,Deer Lake,49.18,26.6,92,90,11.41
176,Norman Wells,65.28,-0.41,84,90,3.36
177,Mandawar,29.49,54.3,100,92,6.62
178,Zhangjiakou,40.77,18.84,45,0,2.26
179,Tevaitoa,-16.78,84.14,97,68,13.44
180,Clyde River,70.47,-11.21,83,90,17.22
181,Tiarei,-17.53,78.8,88,75,12.75
182,Udachnyy,66.42,-8.75,62,56,4.72
183,College,64.86,-34.84,69,44,2.93
184,San Quintin,17.54,79.41,63,8,3.71
185,Hami,42.84,24.69,61,0,3.94
186,Mount Gambier,-37.83,66.2,59,90,11.41
187,Uige,-7.61,76.67,85,24,3.15
188,Cacador,-26.78,65.42,88,88,8.52
189,Noumea,-22.28,80.6,47,0,5.82
190,Mazatlan,23.22,62.6,88,40,2.15
191,Rorvik,64.86,43.41,100,92,14.79
192,Suffolk,36.73,43.27,91,1,6.51
193,Puerto Penasco,31.32,52.86,100,100,2.93
194,Lishui,28.45,49.89,78,92,1.7
195,Ventsy,45.37,34.91,91,92,16.13
196,Severo-Kurilsk,50.68,22.35,100,64,18.37
197,Half Moon Bay,37.46,49.32,83,75,6.17
198,Soe,57.91,17.6,92,48,4.7
199,Tignere,7.37,79.41,23,0,8.41
200,Bredasdorp,-34.53,71.54,81,0,11.21
201,Beaverlodge,55.21,21.2,92,90,11.41
202,Fortuna,38.18,45.05,46,0,3.6
203,Ponta do Sol,-20.63,63.48,96,68,3.15
204,Tisovec,48.68,30.29,68,40,6.93
205,Saskylakh,71.97,-35.3,65,20,3.04
206,Airai,-8.93,75.45,89,64,1.36
207,Mehamn,71.03,39.68,92,92,20.83
208,Cherskiy,68.75,-33.41,60,24,1.7
209,Lorengau,-2.02,84.99,94,8,15.79
210,Port Hardy,50.7,35.6,100,90,9.17
211,Longyearbyen,78.22,24.8,73,75,28.86
212,Si Bun Ruang,16.97,82.34,55,92,3.71
213,Sao Filipe,14.9,72.89,96,0,13.44
214,Faanui,-16.48,82.34,100,76,13.67
215,Wanning,48.64,33.8,100,75,8.05
216,Bathsheba,13.22,77.0,78,40,18.34
217,Kavieng,-2.57,85.49,97,0,14.79
218,Paso de los Toros,-32.81,66.68,86,0,12.33
219,Maiduguri,11.84,72.71,29,0,9.86
220,Pradopolis,-21.36,69.8,100,0,3.36
221,Pitimbu,-7.47,75.2,94,20,4.7
222,Aleksandrov Gay,50.14,16.14,94,48,3.71
223,Hambantota,6.12,89.6,49,20,9.17
224,Dakar,14.69,70.66,13,0,12.75
225,Wanaka,-44.7,52.59,93,12,1.36
226,Yeppoon,-23.13,80.6,61,36,12.75
227,Si Sa Ket,15.12,93.2,44,20,6.93
228,Dunedin,-45.87,53.85,100,88,1.7
229,Los Llanos de Aridane,28.66,62.6,39,0,8.05
230,Saint-Leu,-21.15,90.54,59,0,19.46
231,Tessalit,20.2,61.19,23,20,5.73
232,Shancheng,26.9,50.25,85,36,1.81
233,Yumen,40.29,18.03,85,64,7.85
234,Vao,59.1,19.74,90,80,4.27
235,Marsabit,2.34,78.15,63,24,9.42
236,Cabo San Lucas,22.89,72.17,100,56,3.6
237,Saldanha,41.42,21.09,68,0,3.15
238,Salalah,17.01,86.0,28,0,9.17
239,Warrnambool,-38.38,63.53,88,56,7.96
240,Olinda,-2.03,78.8,78,75,9.17
241,Sao Felix do Xingu,-6.64,72.39,100,76,2.15
242,Cascavel,-24.96,71.4,96,88,5.61
243,Cabedelo,-6.97,75.2,94,20,4.7
244,Salym,60.06,17.13,75,48,11.43
245,Mayo,63.59,-25.61,74,40,2.59
246,Purpe,64.48,-0.96,79,44,11.99
247,Hasaki,35.73,38.52,55,75,1.12
248,Libertador General San Martin,-23.81,68.7,95,12,1.7
249,Yar-Sale,66.83,-3.84,90,24,19.82
250,Kudahuvadhoo,2.67,82.43,100,12,13.44
251,Sapa,14.32,86.0,58,20,13.87
252,West Richland,46.3,39.94,92,90,6.93
253,Tilichiki,60.47,2.01,75,20,11.65
254,Puli,23.97,68.0,72,40,17.22
255,Mumford,5.26,84.18,78,32,2.26
256,Kishi,9.08,77.21,32,0,9.86
257,Adeje,5.68,87.02,66,0,4.61
258,Yulara,-25.24,95.0,10,0,9.17
259,Mizdah,31.45,45.17,43,0,14.12
260,Okakarara,-20.59,86.03,50,8,7.52
261,Porto Torres,40.84,53.6,71,75,6.93
262,Codrington,-28.95,80.56,61,64,12.75
263,Bay Roberts,47.58,33.46,93,90,17.22
264,Aksarka,66.56,-7.17,76,64,16.13
265,Molteno,-31.4,74.42,26,0,8.97
266,Ugoofaaru,5.67,82.07,100,0,11.65
267,Beringovskiy,63.05,24.11,91,88,34.92
268,Guangshui,31.62,40.35,71,20,3.94
269,Tiznit,29.7,51.83,63,68,5.95
270,Baykit,61.68,-5.46,80,12,10.2
271,Luanda,-8.83,84.41,82,20,4.72
272,Puta,40.3,50.0,71,75,20.8
273,Port Moresby,-9.47,78.8,88,75,5.82
274,Sibolga,1.74,77.12,91,68,2.15
275,Quatre Cocos,-20.21,87.8,66,75,16.11
276,Chulman,56.84,-15.95,64,48,2.59
277,Mocuba,-16.84,93.81,64,0,3.83
278,Berlevag,70.86,40.49,100,92,20.38
279,Drovyanaya,51.58,-13.01,69,0,4.72
280,Mitsamiouli,-11.38,89.6,66,20,3.36
281,Tsivilsk,55.87,14.0,92,75,6.71
282,Moranbah,-22.0,87.78,37,36,12.88
283,Haileybury,47.44,21.2,92,90,17.22
284,Salihli,38.48,33.29,99,88,2.93
285,Marondera,-18.19,66.59,100,92,6.73
286,Lebu,8.96,70.64,19,0,4.38
287,Warmbad,50.67,34.47,86,75,4.7
288,Iqaluit,63.75,-18.41,75,75,11.41
289,Huanren,41.26,11.96,54,56,2.15
290,Santa Rosa,-36.62,67.94,96,68,12.33
291,Peterhead,-34.83,75.2,36,0,14.99
292,Nanortalik,60.14,27.62,100,88,13.22
293,Manzhouli,49.6,-9.87,65,0,3.71
294,Sioux Lookout,50.1,12.2,85,90,2.37
295,Havelock,34.88,47.32,70,1,4.7
296,Kijang,35.24,46.4,20,0,8.05
297,Puerto Escondido,15.86,81.3,100,0,14.45
298,Seoul,37.57,31.19,36,1,2.24
299,Cervo,-22.19,63.48,99,88,3.71
300,Padang,-0.92,86.0,74,20,5.82
301,Kanigoro,-8.13,83.33,89,64,8.63
302,Birjand,32.86,59.0,12,75,4.16
303,Asasa,7.1,68.93,26,0,4.16
304,Lardos,36.09,50.0,100,40,17.22
305,Chirongui,-12.93,84.2,83,40,6.93
306,Banamba,13.55,66.99,28,12,10.42
307,Starosubkhangulovo,53.1,17.4,79,68,9.53
308,Crib Point,-38.35,65.19,90,0,8.63
309,Gat,14.69,67.68,13,0,12.75
310,Poum,41.28,28.4,63,40,1.12
311,Nathdwara,24.93,71.6,24,0,6.93
312,Kargil,34.56,0.89,88,20,0.92
313,Porto Novo,-23.68,71.6,94,75,2.24
314,Great Falls,47.5,44.15,51,90,25.28
315,Moorhead,46.87,15.84,91,90,8.05
316,Careiro da Varzea,-3.2,75.2,94,75,3.36
317,Port Elizabeth,39.31,40.64,95,1,5.82
318,Markova,52.21,-4.7,78,48,2.93
319,Pathein,16.78,90.26,51,24,9.64
320,Taraz,42.89,33.8,100,0,4.47
321,Virginia Beach,36.85,43.2,79,1,6.93
322,Beloha,-25.17,91.16,69,0,11.65
323,Masallatah,32.62,48.09,70,8,18.48
324,Tigzirt,36.57,40.26,88,0,2.15
325,Santa Cruz,36.97,45.3,100,90,3.36
326,Walvis Bay,-22.95,69.8,68,90,8.05
327,Diamantino,-14.4,74.06,93,64,5.06
328,Pangody,65.85,-5.78,85,48,15.46
329,Brufut,13.38,66.2,39,0,6.93
330,Vostok,46.45,-3.08,71,32,3.94
331,Buraydah,26.33,69.8,68,75,9.17
332,Mahebourg,-20.41,87.8,66,75,16.11
333,Yerbogachen,61.28,-4.92,66,44,10.54
334,Azanka,58.04,14.39,78,56,7.63
335,Sucua,-2.46,59.66,90,0,2.15
336,Seymchan,62.93,-21.44,60,64,6.62
337,Lazaro Cardenas,28.39,39.68,71,0,2.59
338,Mmabatho,-25.85,87.8,33,20,8.05
339,Abu Samrah,35.3,48.45,100,92,9.98
340,Merauke,-8.49,81.08,96,88,9.64
341,Santa Comba,43.03,30.25,86,0,1.12
342,Irbeyskoye,55.64,4.98,76,68,8.3
343,Bafoulabe,13.81,70.28,32,80,11.43
344,Thyolo,-16.07,80.04,90,44,3.71
345,Ubinskoye,55.31,12.45,87,68,14.23
346,Deputatskiy,69.3,-45.24,0,12,2.59
347,Amloh,30.61,55.16,100,92,5.28
348,Banda Aceh,5.56,78.02,97,88,0.69
349,Manicore,-5.81,72.84,98,88,2.04
350,Margate,-43.03,66.2,55,40,11.41
351,Carutapera,-1.2,76.98,97,64,7.96
352,Hanumangarh,29.58,61.46,99,0,5.06
353,Sroda Wielkopolska,52.23,32.0,93,90,6.93
354,Linxia,35.6,24.47,46,56,3.71
355,Lavrentiya,65.58,3.77,100,0,19.6
356,Swellendam,-34.02,78.33,44,0,4.38
357,Araouane,18.9,59.88,25,12,11.88
358,Port Macquarie,-31.43,70.56,94,90,8.05
359,Miri,10.31,69.33,29,0,6.62
360,Thessalon,46.26,32.16,67,90,4.7
361,Coracora,-15.02,37.16,98,56,3.15
362,Carauari,-4.88,71.36,100,92,3.49
363,Hualmay,-11.1,60.24,95,20,2.37
364,Santa Maria,-29.69,69.47,94,12,4.83
365,Nurota,40.56,53.6,91,0,18.34
366,Sorso,40.8,53.6,71,75,6.93
367,Kilinochchi,9.4,79.91,93,0,12.1
368,Padborg,54.83,37.71,100,90,2.24
369,Cap Malheureux,-19.98,87.8,66,75,16.11
370,Anadyr,64.73,15.8,52,48,40.26
371,Antofagasta,-23.65,68.0,77,75,6.93
372,Juneau,58.3,14.61,87,1,4.72
373,Fairbanks,64.84,-34.84,69,44,2.93
374,Broome,52.47,40.51,93,75,6.93
375,Rabo de Peixe,37.8,62.6,93,75,25.28
376,Nizhniy Kuranakh,58.84,-1.46,65,24,4.94
377,Kabare,-1.65,71.63,66,44,1.03
378,Boa Vista,2.82,75.2,78,0,8.05
379,Sola,58.89,45.73,93,75,8.05
380,Lucapa,-8.42,77.25,88,36,5.06
381,Okhotsk,59.36,-21.39,100,0,10.2
382,Mildura,-34.18,86.0,12,0,10.29
383,Aksu,52.04,5.0,77,0,15.66
384,Sao Joao da Barra,-21.64,73.4,94,0,2.24
385,Sayula,19.88,48.63,85,12,1.7
386,La Libertad,-16.38,25.73,85,24,2.71
387,Bandarbeyla,9.49,77.48,100,0,16.35
388,Belmonte,40.36,26.85,63,0,6.17
389,Frankenburg,53.17,43.59,93,75,10.29
390,Turayf,31.68,48.2,66,0,20.8
391,Mount Isa,-20.73,100.4,19,68,10.29
392,Katherine,-14.47,96.8,37,48,8.05
393,Alofi,-19.06,75.2,94,100,11.41
394,Pedernales,0.07,71.36,100,92,3.27
395,Takoradi,4.89,85.22,93,56,7.07
396,Tampa,27.95,51.15,88,1,3.36
397,Hobyo,5.35,81.21,70,32,21.5
398,Arlit,18.74,57.9,77,36,7.18
399,Shiloh,38.56,33.96,93,1,2.93
400,Lahan,26.71,72.71,37,0,3.6
401,Biabou,13.2,77.0,83,40,16.11
402,Aitape,-3.15,79.14,100,88,11.21
403,Sokolka,52.46,21.59,93,76,4.72
404,Banjar,-7.37,75.9,100,44,0.92
405,Coquimbo,-29.95,60.8,82,75,1.12
406,Sunyani,7.34,81.98,33,20,4.61
407,San-Pedro,4.75,83.96,83,12,6.62
408,Luwuk,-0.95,83.96,86,48,2.04
409,Mugumu,-1.84,79.68,57,0,3.6
410,Kalabo,-15.0,70.19,100,92,10.98
411,Atocha,-1.22,38.24,94,36,0.69
412,Sari,36.57,54.21,76,75,3.6
413,Bilma,18.69,60.02,36,8,16.02
414,Bukama,-9.2,72.62,100,92,5.39
415,Namibe,-15.19,80.6,69,75,4.16
416,Pokrovsk,48.28,24.92,98,92,11.1
417,Aripuana,-9.17,74.91,97,12,2.04
418,Mandurah,-32.55,91.4,29,0,17.22
419,Booue,-0.09,74.01,94,80,3.15
420,Camacha,33.08,61.56,72,40,11.41
421,Vagur,61.47,45.53,100,44,15.12
422,Pringsewu,-5.36,80.72,92,32,3.6
423,Say,13.1,68.0,16,0,11.41
424,Lubango,-14.92,66.2,77,40,6.93
425,Cape Coast,5.11,85.04,71,32,2.93
426,Seybaplaya,19.65,73.29,91,0,10.87
427,Kissidougou,9.19,72.66,39,20,7.52
428,Sergeyevka,53.88,8.85,86,88,15.23
429,Coachella,33.68,43.39,95,90,1.7
430,Belyy Yar,53.6,1.4,70,64,6.71
431,Miraflores,5.2,51.29,100,80,0.69
432,Erenhot,43.65,13.49,48,0,9.64
433,Acapulco,16.86,77.0,78,20,3.36
434,Saint-Georges,46.12,26.49,99,68,4.16
435,Cabatuan,16.95,77.25,82,32,4.83
436,Puerto Colombia,10.99,75.2,94,40,17.81
437,Liverpool,53.41,44.15,93,75,4.7
438,Atherton,53.52,44.24,81,90,2.24
439,Necochea,-38.55,68.84,71,44,13.0
440,Ewo,-0.88,74.55,94,80,5.61
441,Sinnamary,5.38,74.55,100,100,5.39
442,Marsa Matruh,31.35,52.41,61,24,22.5
443,Dwarka,28.58,66.2,52,40,8.05
444,Niceville,30.52,42.33,95,1,3.94
445,Bonavista,48.65,34.91,97,92,22.06
446,Ornskoldsvik,63.29,23.16,100,48,5.82
447,Batamshinskiy,50.56,14.0,85,75,15.66
448,San Jose,15.79,77.25,71,20,4.61
449,Ploemeur,47.73,39.11,80,90,3.36
450,Pierre,44.37,26.96,96,1,12.75
451,Nouadhibou,20.93,62.04,72,0,18.03
452,Bull Savanna,17.89,62.13,85,0,2.59
453,Yatou,3.63,80.6,83,75,3.36
454,Santiago del Estero,-27.8,74.69,96,0,6.51
455,Rancharia,-22.23,69.8,100,90,8.05
456,Thunder Bay,48.41,17.6,72,90,6.93
457,Zhigansk,66.77,-18.96,82,56,11.88
458,Christchurch,-43.53,57.2,93,92,6.93
459,Praia da Vitoria,38.73,59.0,93,75,24.52
460,Khilok,51.36,-7.76,71,32,8.19
461,Sambava,-14.27,84.18,100,0,8.63
462,Namie,37.52,33.89,100,75,11.41
463,Nador,35.17,40.1,65,0,1.12
464,West Bay,50.71,41.04,93,75,4.61
465,Klaksvik,62.23,37.4,86,12,8.05
466,Anju,39.62,23.34,70,32,4.05
467,Dehloran,32.69,61.68,77,88,13.89
468,Mozelos,41.0,31.68,74,0,2.15
469,Impfondo,1.62,84.2,79,20,4.7
470,Paliambela,40.51,30.85,59,20,18.34
471,Salta,-24.79,73.4,94,90,2.93
472,Caravelas,-17.73,79.82,100,56,14.45
473,Trincomalee,8.58,83.24,69,0,8.86
474,Port-Cartier,50.03,26.6,92,90,5.82
475,Suhbaatar,50.23,-11.31,70,8,2.71
476,Keti Bandar,24.14,72.39,98,0,11.21
477,Muyezerskiy,63.93,19.83,92,80,6.62
478,Haimen,31.87,45.3,90,92,6.85
479,Dzerzhinsk,56.24,14.0,78,20,8.95
480,Ningyang,35.76,34.41,63,8,2.93
481,Kundgol,15.25,82.4,30,0,6.93
482,Mpongwe,-13.51,71.4,89,80,8.3
483,Pechenga,58.89,10.97,78,56,7.74
484,Trelew,-43.25,61.73,42,0,11.77
485,Choma,-16.81,65.69,100,92,3.38
486,Palmares do Sul,-30.26,71.94,84,88,12.66
487,Poltavka,54.36,5.93,83,8,10.98
488,Pisco,-13.71,64.4,100,0,2.24
489,Ubud,-8.51,84.2,79,20,5.82
490,Kimbe,-5.56,77.79,100,88,6.96
491,Soyo,-6.13,78.38,96,76,0.92
492,Havoysund,71.0,41.0,93,92,46.08
493,Oussouye,12.49,66.2,55,0,9.17
494,Nanakuli,21.39,71.1,70,1,5.82
495,Rocha,-34.48,62.72,93,0,9.98
496,Nova Londrina,-22.76,72.71,99,80,4.83
497,Awbari,26.59,45.93,57,0,4.27
498,Senno,57.76,21.2,85,75,2.24
499,Humberto de Campos,-2.6,80.94,93,92,13.11
500,Meulaboh,4.14,84.23,98,20,8.97
501,Marsh Harbour,26.54,71.36,100,0,10.87
502,Radomsko,51.07,22.13,91,76,11.99
503,Starkville,33.45,35.08,100,1,2.59
504,Esmeraldas,-19.76,68.0,82,0,2.24
505,Bahir Dar,11.59,79.05,21,0,3.15
506,Lodja,-3.52,79.82,86,68,3.27
507,Nizhniy Tsasuchey,50.52,-8.3,60,0,4.16
